shared_name	shared_interaction	name	interaction	pdb	NA	number_of_underlying_edges	edge_betweenness
Nuclear mRNA export protein SAC3 (interacts with) 26S proteasome complex subunit SEM1	interacts with	Nuclear mRNA export protein SAC3 (interacts with) 26S proteasome complex subunit SEM1	interacts with	3t5v	1	112560.0
Nuclear mRNA export protein SAC3 (interacts with) Transcription and mRNA export factor SUS1	interacts with	Nuclear mRNA export protein SAC3 (interacts with) Transcription and mRNA export factor SUS1	interacts with	4mbe	5	109980.0
Ubiquitin carboxyl-terminal hydrolase 8 (interacts with) H4	interacts with	Ubiquitin carboxyl-terminal hydrolase 8 (interacts with) H4	interacts with	4zux	1	107750.0
Transcription and mRNA export factor SUS1 (interacts with) Ubiquitin carboxyl-terminal hydrolase 8	interacts with	Transcription and mRNA export factor SUS1 (interacts with) Ubiquitin carboxyl-terminal hydrolase 8	interacts with	4zux	12	107688.0
Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	6ef3	1	89389.86338034
Transcription initiation factor TFIID subunit 14 (interacts with) H3	interacts with	Transcription initiation factor TFIID subunit 14 (interacts with) H3	interacts with	6miq	54	80070.0
Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	5u4p	1	56573.48025358
DNA-directed RNA polymerase II subunit RPB1 (interacts with) Transcription initiation factor TFIID subunit 14	interacts with	DNA-directed RNA polymerase II subunit RPB1 (interacts with) Transcription initiation factor TFIID subunit 14	interacts with	5sva	1	42070.6972694
13 kDa ribonucleoprotein-associated protein (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	13 kDa ribonucleoprotein-associated protein (interacts with) Pre-mRNA-splicing helicase BRR2	interacts with	5gap	2	40940.81702742
13 kDa ribonucleoprotein-associated protein (interacts with) 40S ribosomal protein S9-A	interacts with	13 kDa ribonucleoprotein-associated protein (interacts with) 40S ribosomal protein S9-A	interacts with	5wyk	4	38961.2114706
26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN6	interacts with	26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN6	interacts with	6fvy	6	34772.90280492
DNA-directed RNA polymerase II subunit RPB2 (interacts with) Transcription initiation factor TFIID subunit 14	interacts with	DNA-directed RNA polymerase II subunit RPB2 (interacts with) Transcription initiation factor TFIID subunit 14	interacts with	5sva	1	34170.64668665
26S proteasome regulatory subunit RPN7 (interacts with) 26S proteasome complex subunit SEM1	interacts with	26S proteasome regulatory subunit RPN7 (interacts with) 26S proteasome complex subunit SEM1	interacts with	5wvk	19	27708.03782908
26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN8	interacts with	26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN8	interacts with	6fvt	1	27556.69278716
26S proteasome regulatory subunit RPN6 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit RPN6 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	5wvk	20	25515.91044118
26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN3	interacts with	26S proteasome complex subunit SEM1 (interacts with) 26S proteasome regulatory subunit RPN3	interacts with	6fvy	14	24768.36657883
Regulatory protein SIR3 (interacts with) H4	interacts with	Regulatory protein SIR3 (interacts with) H4	interacts with	4ld9	73	24646.11904762
Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) 26S proteasome regulatory subunit RPN7	interacts with	Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) 26S proteasome regulatory subunit RPN7	interacts with	4cr3	3	24633.49466089
Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) 26S proteasome regulatory subunit RPN3	interacts with	Ubiquitin carboxyl-terminal hydrolase RPN11 (interacts with) 26S proteasome regulatory subunit RPN3	interacts with	6fvy	4	24363.32519226
26S proteasome regulatory subunit RPN8 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	26S proteasome regulatory subunit RPN8 (interacts with) Ubiquitin carboxyl-terminal hydrolase RPN11	interacts with	5wvk	28	24354.28015873
Ubiquitin-60S ribosomal protein L40 (interacts with) 60S ribosomal protein L19-B	interacts with	Ubiquitin-60S ribosomal protein L40 (interacts with) 60S ribosomal protein L19-B	interacts with	4v6i	1	22290.05700522
Suppressor protein STM1 (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	Suppressor protein STM1 (interacts with) Ubiquitin-40S ribosomal protein S31	interacts with	6hhq	26	20631.61371155
U4/U6 small nuclear ribonucleoprotein PRP3 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	U4/U6 small nuclear ribonucleoprotein PRP3 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5zwo	6	20317.18519814
Transcription regulatory protein SNF2 (interacts with) H4	interacts with	Transcription regulatory protein SNF2 (interacts with) H4	interacts with	5x0y	7	19616.77619048
Ubiquitin-60S ribosomal protein L40 (interacts with) 60S ribosomal protein L9-A	interacts with	Ubiquitin-60S ribosomal protein L40 (interacts with) 60S ribosomal protein L9-A	interacts with	5mc6	61	19478.49454463
Histone chaperone ASF1 (interacts with) H4	interacts with	Histone chaperone ASF1 (interacts with) H4	interacts with	4zbj	65	18868.3952381
Chromo domain-containing protein 1 (interacts with) H4	interacts with	Chromo domain-containing protein 1 (interacts with) H4	interacts with	6g0l	25	16957.2047619
Histone acetyltransferase type B subunit 2 (interacts with) H4	interacts with	Histone acetyltransferase type B subunit 2 (interacts with) H4	interacts with	4psw	51	16955.2047619
Regulatory protein SIR3 (interacts with) H3	interacts with	Regulatory protein SIR3 (interacts with) H3	interacts with	4ld9	34	16935.63333333
Transcription regulatory protein SNF2 (interacts with) H3	interacts with	Transcription regulatory protein SNF2 (interacts with) H3	interacts with	5x0y	2	16932.58571429
Histone chaperone ASF1 (interacts with) H3	interacts with	Histone chaperone ASF1 (interacts with) H3	interacts with	4zbj	116	16497.63333333
Histone acetyltransferase type B subunit 2 (interacts with) H3	interacts with	Histone acetyltransferase type B subunit 2 (interacts with) H3	interacts with	4psx	17	16480.49047619
Chromo domain-containing protein 1 (interacts with) H3	interacts with	Chromo domain-containing protein 1 (interacts with) H3	interacts with	6g0l	15	16286.15714286
Ubiquitin-40S ribosomal protein S31 (interacts with) Elongation factor 2	interacts with	Ubiquitin-40S ribosomal protein S31 (interacts with) Elongation factor 2	interacts with	5juu	3	15210.28242723
Elongation factor 2 (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	Elongation factor 2 (interacts with) Ubiquitin-60S ribosomal protein L40	interacts with	5juu	2	13999.37843131
U3 small nucleolar RNA-associated protein 11 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	U3 small nucleolar RNA-associated protein 11 (interacts with) 13 kDa ribonucleoprotein-associated protein	interacts with	5wlc	1	13959.65631454
60S ribosomal protein L19-B (interacts with) PROBABLE METALLOPROTEASE ARX1	interacts with	60S ribosomal protein L19-B (interacts with) PROBABLE METALLOPROTEASE ARX1	interacts with	4v8t	1	12897.50272332
